종목코드,표준코드,한글주식명
034220,KR7034220004,LG디스플레이
034230,KR7034230003,파라다이스
034730,KR7034730002,SK
035150,KR7035150002,백산
035250,KR7035250000,강원랜드
035420,KR7035420009,NAVER
035510,KR7035510007,신세계 I&C
035720,KR7035720002,카카오
036460,KR7036460004,한국가스공사
036570,KR7036570000,엔씨소프트
037270,KR7037270006,YG PLUS
039130,KR7039130000,하나투어
039490,KR7039490008,키움증권
042660,KR7042660001,한화오션
042670,KR7042670000,HD현대인프라코어
042700,KR7042700005,한미반도체
047040,KR7047040001,대우건설
047050,KR7047050000,포스코인터내셔널
047810,KR7047810007,한국항공우주
049770,KR7049770001,동원F&B
051600,KR7051600005,한전KPS
051900,KR7051900009,LG생활건강
051910,KR7051910008,LG화학
052690,KR7052690005,한전기술
053690,KR7053690004,한미글로벌
055550,KR7055550008,신한지주
057050,KR7057050007,현대홈쇼핑
058430,KR7058430000,포스코스틸리온
062040,KR7062040001,산일전기
063160,KR7063160006,종근당바이오
064350,KR7064350002,현대로템
064960,KR7064960008,SNT모티브
066570,KR7066570003,LG전자
066970,KR7066970005,엘앤에프
068270,KR7068270008,셀트리온
068290,KR7068290006,삼성출판사
069260,KR7069260008,TKG휴켐스
069620,KR7069620003,대웅제약
069960,KR7069960003,현대백화점
070960,KR7070960000,모나용평
071050,KR7071050009,한국금융지주
071320,KR7071320006,지역난방공사
071970,KR7071970008,HD현대마린엔진
073240,KR7073240004,금호타이어
075580,KR7075580001,세진중공업
077970,KR7077970002,STX엔진
078520,KR7078520004,에이블씨엔씨
078930,KR7078930005,GS
079160,KR7079160008,CJ CGV
079430,KR7079430005,현대리바트
079550,KR7079550000,LIG넥스원
079900,KR7079900007,전진건설로봇
081660,KR7081660003,미스토홀딩스
082640,KR7082640004,동양생명
082740,KR7082740002,한화엔진
083420,KR7083420000,그린케미칼
084010,KR7084010008,대한제강
084690,KR7084690007,대상홀딩스
086280,KR7086280005,현대글로비스
086790,KR7086790003,하나금융지주
088350,KR7088350004,한화생명
089590,KR7089590004,제주항공
089860,KR7089860001,롯데렌탈
090430,KR7090430000,아모레퍼시픽
090460,KR7090460007,비에이치
091810,KR7091810002,티웨이항공
092200,KR7092200005,디아이씨
092790,KR7092790005,넥스틸
093370,KR7093370005,후성
096770,KR7096770003,SK이노베이션
097230,KR7097230007,HJ중공업
097520,KR7097520001,엠씨넥스
097950,KR7097950000,CJ제일제당
100090,KR7100090000,SK오션플랜트
100840,KR7100840008,SNT에너지
101530,KR7101530004,해태제과식품
102460,KR7102460003,이연제약
103140,KR7103140000,풍산
103590,KR7103590006,일진전기
105560,KR7105560007,KB금융
105630,KR7105630008,한세실업
105840,KR7105840003,우진
108320,KR7108320003,LX세미콘
108670,KR7108670001,LX하우시스
111770,KR7111770004,영원무역
112610,KR7112610001,씨에스윈드
114090,KR7114090004,GKL
117580,KR7117580001,대성에너지
120110,KR7120110002,코오롱인더
126560,KR7126560002,현대퓨처넷
126720,KR7126720002,수산인더스트리
128940,KR7128940004,한미약품
130660,KR7130660004,한전산업
137310,KR7137310009,에스디바이오센서
138040,KR7138040001,메리츠금융지주
138490,KR7138490008,코오롱ENP
138930,KR7138930003,BNK금융지주
139130,KR7139130009,iM금융지주
139480,KR7139480008,이마트
145720,KR7145720009,덴티움
145990,KR7145990008,삼양사
161000,KR7161000005,애경케미칼
161390,KR7161390000,한국타이어앤테크놀로지
161890,KR7161890009,한국콜마
170900,KR7170900005,동아에스티
175330,KR7175330000,JB금융지주
178920,KR7178920005,PI첨단소재
180640,KR7180640005,한진칼
181710,KR7181710005,NHN
185750,KR7185750007,종근당
192080,KR7192080000,더블유게임즈
192650,KR7192650000,드림텍
192820,KR7192820009,코스맥스
194370,KR7194370003,제이에스코퍼레이션
195870,KR7195870001,해성디에스
200880,KR7200880003,서연이화
204320,KR7204320006,HL만도
207940,KR7207940008,삼성바이오로직스
210980,KR7210980009,SK디앤디
214420,KR7214420002,토니모리
229640,KR7229640008,LS에코에너지
241560,KR7241560002,두산밥캣
241590,KR7241590009,화승엔터프라이즈
248070,KR7248070005,솔루엠
249420,KR7249420001,일동제약
251270,KR7251270005,넷마블
259960,KR7259960003,크래프톤
267250,KR7267250009,HD현대
267260,KR7267260008,HD현대일렉트릭
267270,KR7267270007,HD현대건설기계
267850,KR7267850006,아시아나IDT
271560,KR7271560005,오리온
271940,KR7271940009,일진하이솔루스
272210,KR7272210006,한화시스템
272450,KR7272450008,진에어
278470,KR7278470000,에이피알
280360,KR7280360009,롯데웰푸드
281820,KR7281820001,케이씨텍
282330,KR7282330000,BGF리테일
285130,KR7285130001,SK케미칼
286940,KR7286940002,롯데이노베이트
294870,KR7294870001,HDC현대산업개발
298000,KR7298000001,효성화학
298020,KR7298020009,효성티앤씨
298040,KR7298040007,효성중공업
298050,KR7298050006,HS효성첨단소재
300720,KR7300720000,한일시멘트
302440,KR7302440003,SK바이오사이언스
307950,KR7307950006,현대오토에버
316140,KR7316140003,우리금융지주
322000,KR7322000001,HD현대에너지솔루션
323410,KR7323410001,카카오뱅크
326030,KR7326030004,SK바이오팜
336260,KR7336260005,두산퓨얼셀
336370,KR7336370002,솔루스첨단소재
339770,KR7339770000,교촌에프앤비
352820,KR7352820005,하이브
353200,KR7353200009,대덕전자
361610,KR7361610009,SK아이이테크놀로지
363280,KR7363280009,티와이홀딩스
373220,KR7373220003,LG에너지솔루션
375500,KR7375500006,DL이앤씨
377300,KR7377300009,카카오페이
377740,KR7377740006,바이오노트
381970,KR7381970003,케이카
383220,KR7383220001,F&F
383800,KR7383800000,LX홀딩스
402340,KR7402340004,SK스퀘어
