단축코드,표준코드,한글명,상장일자
016450,KR7016450009,한세예스24홀딩스,20000106
016610,KR7016610008,DB증권,19880627
017670,KR7017670001,SK텔레콤,19891107
017800,KR7017800004,현대엘리베이터,19960703
017810,KR7017810003,풀무원,19951005
017860,KR7017860008,DS단석,20231222
017940,KR7017940008,E1,19970827
017960,KR7017960006,한국카본,19950708
018250,KR7018250001,애경산업,20180322
018260,KR7018260000,삼성에스디에스,20141114
018670,KR7018670000,SK가스,19970827
018880,KR7018880005,한온시스템,19960731
020120,KR7020120002,키다리스튜디오,19960703
020150,KR7020150009,롯데에너지머티리얼즈,20110304
020560,KR7020560009,아시아나항공,20080328
021240,KR7021240007,코웨이,20010807
022100,KR7022100002,포스코DX,20240102
023530,KR7023530009,롯데쇼핑,20060209
024110,KR7024110009,기업은행,20031224
024720,KR7024720005,콜마홀딩스,20020409
025540,KR7025540006,한국단자,19961016
025820,KR7025820002,이구산업,19950818
025860,KR7025860008,남해화학,19951110
026960,KR7026960005,동서,20160715
028050,KR7028050003,삼성E&A,19961224
028100,KR7028100006,동아지질,20090612
028260,KR7028260008,삼성물산,20141218
028670,KR7028670008,팬오션,20070921
029780,KR7029780004,삼성카드,20070627
030000,KR7030000004,제일기획,19980303
030190,KR7030190003,NICE평가정보,20230808
030200,KR7030200000,KT,19981223
032350,KR7032350001,롯데관광개발,20060608
032640,KR7032640005,LG유플러스,20080421
032830,KR7032830002,삼성생명,20100512
033240,KR7033240003,자화전자,19990106
033780,KR7033780008,KT&G,19991008
034020,KR7034020008,두산에너빌리티,20001025
034120,KR7034120006,SBS,20030625
034220,KR7034220004,LG디스플레이,20040723
034230,KR7034230003,파라다이스,20240624
034730,KR7034730002,SK,20091111
035150,KR7035150002,백산,19990811
035250,KR7035250000,강원랜드,20030904
035420,KR7035420009,NAVER,20081128
035510,KR7035510007,신세계 I&C,20060518
035720,KR7035720002,카카오,20170710
036460,KR7036460004,한국가스공사,19991215
036570,KR7036570000,엔씨소프트,20030522
037270,KR7037270006,YG PLUS,20030801
039130,KR7039130000,하나투어,20111101
039490,KR7039490008,키움증권,20090803
042660,KR7042660001,한화오션,20010202
042670,KR7042670000,HD현대인프라코어,20010202
042700,KR7042700005,한미반도체,20050722
047040,KR7047040001,대우건설,20010323
047050,KR7047050000,포스코인터내셔널,20010323
047810,KR7047810007,한국항공우주,20110630
049770,KR7049770001,동원F&B,20001123
051600,KR7051600005,한전KPS,20071214
051900,KR7051900009,LG생활건강,20010425
051910,KR7051910008,LG화학,20010425
052690,KR7052690005,한전기술,20091214
053690,KR7053690004,한미글로벌,20090623
055550,KR7055550008,신한지주,20010910
057050,KR7057050007,현대홈쇼핑,20100913
058430,KR7058430000,포스코스틸리온,20020816
062040,KR7062040001,산일전기,20240729
063160,KR7063160006,종근당바이오,20011211
064350,KR7064350002,현대로템,20131030
064960,KR7064960008,SNT모티브,20020311
066570,KR7066570003,LG전자,20020422
066970,KR7066970005,엘앤에프,20240129
068270,KR7068270008,셀트리온,20180209
068290,KR7068290006,삼성출판사,20020805
069260,KR7069260008,TKG휴켐스,20021007
069620,KR7069620003,대웅제약,20021101
069960,KR7069960003,현대백화점,20021125
070960,KR7070960000,모나용평,20160527
071050,KR7071050009,한국금융지주,20030721
071320,KR7071320006,지역난방공사,20100129
071970,KR7071970008,HD현대마린엔진,20090515
073240,KR7073240004,금호타이어,20050217
075580,KR7075580001,세진중공업,20151130
077970,KR7077970002,STX엔진,20040510
078520,KR7078520004,에이블씨엔씨,20110907
078930,KR7078930005,GS,20040805
079160,KR7079160008,CJ CGV,20041224
079430,KR7079430005,현대리바트,20051122
079550,KR7079550000,LIG넥스원,20151002
079900,KR7079900007,전진건설로봇,20240819
081660,KR7081660003,미스토홀딩스,20100928
082640,KR7082640004,동양생명,20091008
082740,KR7082740002,한화엔진,20110104
083420,KR7083420000,그린케미칼,20051020
084010,KR7084010008,대한제강,20051031
084690,KR7084690007,대상홀딩스,20050817
086280,KR7086280005,현대글로비스,20051226
086790,KR7086790003,하나금융지주,20051212
088350,KR7088350004,한화생명,20100317
089590,KR7089590004,제주항공,20151106
089860,KR7089860001,롯데렌탈,20210819
090430,KR7090430000,아모레퍼시픽,20060629
090460,KR7090460007,비에이치,20230620
091810,KR7091810002,티웨이항공,20180801
092200,KR7092200005,디아이씨,20071018
092790,KR7092790005,넥스틸,20230821
093370,KR7093370005,후성,20061222
096770,KR7096770003,SK이노베이션,20070725
097230,KR7097230007,HJ중공업,20070831
097520,KR7097520001,엠씨넥스,20210706
097950,KR7097950000,CJ제일제당,20070928
100090,KR7100090000,SK오션플랜트,20230419
100840,KR7100840008,SNT에너지,20080222
101530,KR7101530004,해태제과식품,20160511
